-7504	1184	1904	82349	99964
-13216	1968	2896	127243	100017
-14480	2240	3872	127311	100025
-14560	2304	3936	127287	100010
-14672	2512	3776	127224	100012
-14736	2624	3392	127301	100090
-14720	2832	3712	127332	100085
-14608	2816	3584	127369	100094
-14640	2944	3888	127324	100065
-14592	2816	3920	127486	100038
-14768	2560	3632	127455	100051
-14640	2464	3936	127350	99989
-14880	2608	3472	127125	99890
-15152	2992	3120	127099	100012
-15216	3040	3840	127202	100002
-15488	3488	3376	127306	99996
-15104	3904	3760	127301	100021
-14272	3584	4400	127243	100013
-13632	3152	4496	127368	99997
-13792	2752	3856	127302	99985
-14192	1840	3712	127315	99973
-15184	1520	3008	127362	99991
-15936	1504	1872	127386	99950
-15472	2016	2048	127380	100000
-15344	2512	2448	127374	99935
-14928	2624	3360	127407	99863
-14512	2864	4240	127300	99916
-14512	2848	3984	127203	99906
-14752	2688	3904	127429	99955
-15120	2256	3472	127596	100032
-15248	1968	2800	127717	100153
-15392	2080	2576	127880	100179
-15392	1952	2976	127911	100168
-15152	2400	2928	127898	100292
-14816	2576	3312	127926	100267
-14608	2576	3168	127944	100285
-14816	2496	3072	128039	100299
-14912	2432	3056	128058	100335
-14816	2384	3408	128055	100330
-14816	2448	3728	128088	100321
-15056	2336	3296	128083	100274
-14896	2240	3184	128000	100317
-14512	2608	3056	127757	100204
-14800	2544	3216	127672	100205
-15136	2480	3392	127676	100188
-15168	2496	3072	127744	100247
-14912	2560	2960	127809	100214
-14864	2464	2960	127783	100241
-14848	2544	2720	127786	100222
-14816	2496	2320	127829	100191
-14896	2496	2128	127810	100183
-15136	2496	2288	127753	100183
-15040	2640	2736	127750	100191
-14832	2736	2752	127806	100258
-14816	2736	2720	127774	100225
-14896	2496	2480	127821	100220
-15152	2384	2704	127967	100204
-14960	2544	3184	127888	100161
-15008	2480	2352	127673	100054
-14896	2384	1728	127607	100107
-14992	2320	1664	127661	100119
-14896	2480	2144	127743	100109
-14864	2336	2192	127807	100176
-15056	2304	2272	127840	100192
-15088	2384	2720	127785	100132
-15056	2336	3056	127821	100206
-15072	2464	2544	127843	100160
-15088	2448	2928	127842	100173
-14960	2448	2464	127959	100169
-15200	2512	2704	127954	100160
-15232	2608	2480	127940	100229
-15088	2512	2672	127993	100222
-15152	2336	2368	127932	100162
-15328	2336	2480	127791	100075
-15184	2400	2640	127579	100041
-15200	2240	2576	127740	100007
-15200	2224	2064	127781	99974
-15104	2288	2416	127785	100021
-15136	2400	2512	127825	100074
-15280	2352	2496	127775	100039
-15184	2272	2496	127816	100077
-15056	2336	2720	127864	100024
-14992	2368	2560	127743	99894
-14960	2720	3264	127515	99948
-15280	2400	2352	127509	99926
-15376	2256	2144	127552	99923
-15296	2320	1888	127654	99936
-15168	2240	2368	127620	99908
-15248	2272	2256	127690	99950
-15024	2416	2528	127699	99894
-15008	2336	2272	127641	99876
-15008	2416	2912	127567	99872
-15152	2320	2208	127696	99848
-14960	2336	2464	127707	99864
-15104	2352	2480	127684	99870
-15040	2352	2544	127697	99816
-15056	2352	2976	127699	99936
-14832	2384	2992	127619	99814
-14848	2480	2800	127409	99752
-15040	2352	2640	127318	99741
-15168	2176	2576	127415	99791
-15104	2352	2336	127567	99784
-15056	2352	2208	127578	99780
-15072	2400	2704	127568	99788
-14976	2448	2848	127566	99777
-15104	2336	2688	127545	99756
-14912	2448	2848	127529	99836
-14976	2448	2480	127573	99737
-14848	2448	2672	127588	99855
-14928	2384	2864	127568	99818
-15152	2288	2400	127581	99795
-15312	2304	2896	127676	99780
-15440	2288	2640	127656	99759
-15168	2256	2464	127472	99639
-14848	2384	2560	127333	99643
-15104	2208	1968	127381	99636
-15376	2128	2336	127401	99721
-15312	2272	2624	127403	99698
-15008	2448	2768	127424	99726
-14912	2416	2720	127496	99715
-14880	2384	3136	127489	99728
-15360	2288	2384	127470	99701
-15120	2368	2304	127505	99692
-14928	2464	3040	127535	99642
-15088	2304	2208	127543	99722
-15056	2272	2720	127550	99734
-15232	2224	2000	127572	99725
-15104	2320	2384	127536	99679
-14928	2304	2800	127562	99765
-15024	2384	2496	127612	99722
-15152	2384	2768	127528	99582
-14864	2480	2912	127299	99535
-14992	2384	3120	127231	99601
-15024	2336	2944	127381	99601
-14800	2464	3424	127405	99664
-15120	2336	2512	127396	99665
-14960	2272	2640	127462	99672
-15056	2352	2688	127467	99603
-14992	2256	3568	127416	99696
-15200	2208	2464	127400	99648
-15072	2320	2688	127510	99638
-15040	2384	2496	127535	99631
-15184	2256	2224	127571	99666
-15200	2336	2576	127596	99629
-15024	2432	2608	127543	99692
-14848	2448	3040	127515	99684
-15216	2192	2304	127571	99663
-14944	2288	2720	127483	99543
-14928	2512	2928	127306	99592
-14976	2384	2848	127218	99542
-15168	2288	2720	127417	99541
-15168	2352	2128	127433	99635
-15040	2384	2352	127449	99622
-14912	2352	3008	127420	99599
-15136	2240	2464	127576	99606
-15056	2336	2704	127548	99590
-14944	2400	2768	127527	99553
-14976	2304	2800	127530	99581
-15072	2320	2560	127582	99552
-15072	2336	2912	127494	99521
-15024	2272	2640	127270	99497
-15104	2192	2688	127177	99487
-15088	2208	2048	127350	99489
-14976	2288	2128	127417	99469
-15040	2368	2272	127432	99489
-15184	2432	2608	127523	99519
-14960	2448	2704	127507	99511
-15280	2400	3056	127411	99502
-15392	1952	2848	127447	99453
-14944	1968	2448	127399	99551
-14704	2144	1984	127380	99512
-14912	2352	1904	127457	99528
-15344	2432	2528	127503	99490
-15600	2416	2864	127470	99504
-15376	2544	3088	127421	99493
-14800	2544	2944	127472	99465
-14912	2512	2176	127336	99390
-15008	2496	2640	127177	99378
-15472	2224	2544	127215	99374
-15312	2272	2480	127283	99428
-14848	2400	3024	127338	99492
-14976	2304	2896	127292	99458
-15168	2320	2224	127316	99438
-15248	2256	2624	127280	99473
-14992	2368	2928	127310	99435
-14960	2336	2800	127392	99427
-15072	2240	2768	127423	99405
-15072	2288	2528	127409	99467
-15104	2368	2816	127423	99432
-14976	2304	2976	127436	99501
-15296	2320	3168	127387	99448
-15216	2544	2848	127388	99443
-15104	2560	3168	127190	99323
-14640	2672	2512	127036	99345
-14624	2448	2736	127048	99345
-14816	2320	2224	127176	99384
-15328	2128	2016	127351	99384
-15392	2160	2288	127333	99349
-15040	2304	2224	127258	99399
-14800	2544	2080	127293	99371
-15008	2368	2720	127231	99292
-15232	2304	2320	127263	99387
-15088	2480	2544	127271	99342
-14912	2448	2880	127377	99299
-15040	2496	2544	127372	99307
-15152	2432	2960	127414	99327
-15072	2400	2448	127397	99298
-14960	2448	2416	127289	99268
-14880	2560	2448	127067	99230
-14960	2448	3104	127038	99213
-15312	2256	2688	127125	99256
-15120	2432	2560	127216	99350
-14912	2464	2688	127205	99301
-15136	2160	2800	127314	99278
-15264	2000	2384	127247	99268
-15248	2208	2704	127171	99275
-14960	2272	3376	127178	99281
-15040	2144	2368	127231	99284
-14976	2256	2560	127299	99262
-15008	2208	2192	127272	99342
-15248	2096	2400	127319	99247
-15264	2288	2272	127265	99341
-15008	2672	2832	127133	99218
-14880	2736	3040	127045	99205
-15248	2352	3072	127033	99194
-14928	2432	2544	127093	99135
-14928	2384	2752	127111	99216
-15152	2336	2560	127181	99139
-15168	2416	2528	127138	99172
-15216	2304	2656	127049	99173
-15088	2176	2128	127127	99172
-14880	2352	2336	127159	99184
-14800	2352	1968	127124	99159
-14976	2416	2608	127201	99227
-15424	2336	2464	127142	99184
-15152	2416	2720	127069	99137
-14848	2528	2544	126852	99075
-15008	2416	2560	126921	99073
-15200	2384	1920	126958	99115
-15072	2512	2448	127025	99088
-14960	2528	2192	127072	99135
-15104	2512	2544	127096	99087
-15072	2416	2512	127043	99088
-15216	2240	2416	127026	99056
-14896	2272	2832	127010	99155
-14832	2368	2848	127028	99135
-15056	2352	2640	127081	99165
-15056	2384	2592	127183	99149
-15024	2320	2448	127123	99115
-14896	2416	3040	127150	99061
-15056	2416	2528	127004	99054
-14880	2304	2768	126865	99038
-15120	2288	2832	126865	99063
-15120	2384	2240	126864	99076
-14928	2320	2288	126996	99048
-14928	2304	2400	127018	99072
-14992	2336	2736	127022	99033
-15120	2288	2480	127020	98951
-14896	2144	2432	126983	99044
-14880	2240	2928	127026	98976
-14848	2464	3008	127015	99054
-15072	2512	2096	127023	99013
-15072	2400	2208	127025	99058
-15072	2256	2656	126980	99015
-15232	2144	2288	126988	99010
-15232	1952	2448	126838	98945
-15136	2048	2672	126727	98894
-14976	2240	2944	126665	98877
-15072	2096	2784	126721	98889
-15008	2192	2528	126828	98902
-15280	2048	2336	126815	98943
-15504	1712	2144	126833	98962
-15392	1664	2512	126815	98973
-15168	1744	2048	126722	98914
-14912	2000	2320	126820	98918
-15088	2112	2672	126861	98897
-15056	2368	2752	126848	98904
-14768	2288	2672	126858	98896
-14880	2224	2160	126918	98911
-14832	2192	2832	126877	98997
-15328	1920	2320	126912	98945
-15296	2000	2480	126774	98871
-14864	2368	2560	126542	98840
-14688	2432	3088	126590	98815
-15024	2064	2784	126637	98844
-15280	2176	2464	126672	98911
-15200	2096	2720	126723	98867
-15168	2032	2288	126713	98827
-14992	2144	2496	126661	98898
-15152	2080	2352	126726	98888
-15008	2064	2320	126653	98909
-15296	2320	2976	126621	98872
-15264	2272	2496	126695	98868
-14944	2208	2384	126619	98886
-15120	2192	2320	126646	98916
-15280	2128	2288	126719	98873
-15264	2288	2656	126768	98846
-15040	2320	2512	126808	98879
-14944	2320	2528	126825	98808
-15088	2272	2992	126557	98813
-15216	2352	2272	126579	98818
-15408	2032	2544	126580	98781
-14880	2448	2864	126626	98819
-15008	2208	2448	126731	98780
-15056	1936	3008	126735	98823
-15360	1968	2592	126701	98871
-14880	2240	2464	126732	98842
-14800	2336	2464	126761	98835
-15056	2256	2352	126764	98866
-15216	2176	2512	126761	98831
-15312	2416	3216	126646	98767
-15168	2160	2624	126391	98725
-14928	1936	2192	126509	98743
-15040	2256	2576	126545	98706
-15216	2352	2576	126564	98800
-15232	2192	2448	126603	98773
-15056	2272	2592	126621	98757
-14848	2544	2224	126580	98802
-14976	2416	2832	126583	98778
-15280	2144	2512	126586	98784
-15216	2208	1952	126572	98747
-15152	2384	2096	126622	98753
-15008	2320	2544	126667	98732
-15088	2192	2736	126747	98711
-15072	1824	2016	126751	98776
-15232	2144	1872	126705	98771
-15280	2208	1808	126769	98777
-15088	2256	2304	126702	98749
-14704	2512	2736	126610	98669
-14896	2288	2112	126463	98666
-15312	2160	2096	126456	98654
-15360	2192	2256	126542	98628
-15280	2240	2432	126611	98643
-14992	2304	2208	126569	98697
-15040	2192	2144	126597	98709
-14960	2144	2016	126551	98694
-15120	2112	2176	126584	98637
-15184	2240	1856	126669	98662
-14784	2208	2656	126632	98670
-14912	2544	2752	126605	98708
-14768	2656	3184	126716	98682
-14944	2352	2352	126711	98670
-15344	2256	2720	126675	98665
-15248	2080	2448	126713	98628
-15056	2144	1776	126656	98692
-14752	2464	1888	126443	98589
-14880	2400	2240	126367	98585
-15312	2000	2272	126424	98618
-15456	2096	2224	126466	98631
-15248	2128	1952	126599	98625
-15008	2320	2192	126596	98621
-15088	2384	2416	126575	98581
-15360	2096	2224	126514	98584
-15472	1936	2176	126528	98538
-15200	2048	2160	126512	98586
-14752	2224	2032	126525	98665
-14976	2384	2224	126531	98626
-15216	2272	2624	126667	98662
-15296	2128	2704	126666	98695
-15136	2128	2336	126707	98682
-14944	2304	2208	126619	98627
-14912	2512	2624	126577	98499
-15024	2400	2400	126404	98495
-15424	2016	2272	126443	98577
-15440	2064	2128	126468	98550
-15056	2176	2240	126503	98561
-14672	2256	2704	126494	98544
-14912	2224	2768	126551	98506
-15168	2064	2496	126588	98575
-15328	2064	2160	126568	98617
-15328	2176	1984	126531	98575
-14992	2304	2304	126635	98538
-15088	2400	2528	126660	98565
-15328	2320	2544	126551	98599
-15104	2048	2320	126601	98572
-15024	2192	2448	126556	98488
-15136	2128	2336	126602	98492
-15024	2144	2464	126584	98480
-14800	2368	2416	126400	98388
-15024	2256	2896	126364	98423
-15328	2320	2592	126390	98446
-15104	2096	2736	126441	98454
-15072	2224	2336	126429	98469
-15152	2192	1744	126535	98492
-14848	2304	2256	126484	98458
-15088	2160	2288	126480	98464
-15312	1984	2272	126496	98404
-15232	2048	2192	126470	98529
-14992	2128	2576	126494	98474
-14784	2176	2176	126545	98449
-14688	2336	2192	126532	98418
-15296	2128	2112	126555	98518
-15440	2144	2368	126402	98423
-15168	2192	2256	126281	98383
-14912	2160	2816	126396	98378
-14784	2384	3216	126397	98418
-14960	2224	2624	126510	98435
-15296	2160	2592	126494	98442
-15072	2224	2544	126572	98423
-15040	2256	2736	126486	98422
-15056	2208	2688	126414	98390
-14992	2112	2400	126461	98474
